"dimension","dim_type","cur_count","unique_count","null_count","zero_count","null_ratio","zero_ratio","cat_val","cat_ratio_bf_m0","cat_ratio_bf_m1","cat_ratio_bf_m2","cat_ratio_diff_bf_m1","cat_ratio_diff_bf_m2","mean_bf_m0","mean_bf_m1","mean_bf_m2","mean_ratio_diff_bf_m1","mean_ratio_diff_bf_m2","std_bf_m0","std_bf_m1","std_bf_m2","std_ratio_diff_bf_m1","std_ratio_diff_bf_m2","status_bf_m0","status_bf_m1","status_bf_m2","alarm_yn","dt"
"mbr_discount_amt_convenience_store","numerical","646822","987","0","0","0.0","0.0",,,,,,,"1164.897","1509.582","1493.8","-0.296","-0.282","3201.946","4673.477","4625.305","-0.46","-0.445","success","success","success","N","2020-07"
"app_use_traffic_navigation","numerical","6836794","5208708","0","11079","0.002","0.002",,,,,,,"16.917","29.289","28.955","-0.731","-0.712","97.456","168.503","174.647","-0.729","-0.792","success","success","success","N","2020-07"
"voc_snd_prtn_cnt_bf_m2","numerical","17323465","2735","0","0","0.0","0.0",,,,,,,"37.72","35.632","35.688","0.055","0.054","50.687","51.929","52.043","-0.025","-0.027","success","success","success","N","2020-07"
"voc_snd_cnt_security","numerical","150938","51","0","97712","0.647","0.647",,,,,,,"0.637","0.86","0.826","-0.35","-0.297","1.479","2.004","1.945","-0.355","-0.315","success","success","success","N","2020-07"
"bf_m6_sum_data_usage_in_gb","numerical","20918085","16455645","0","2187486","0.105","0.105",,,,,,,"61.378","64.759","64.644","-0.055","-0.053","134.293","141.058","140.47","-0.05","-0.046","success","success","success","N","2020-07"
"app_use_traffic_shopping_parcel","numerical","1669083","974585","0","5651","0.003","0.003",,,,,,,"7.528","11.969","11.449","-0.59","-0.521","48.908","90.399","84.35","-0.848","-0.725","success","success","success","N","2020-07"
"fmly_chld_age0006_cnt","numerical","5390","2","0","0","0.0","0.0",,,,,,,"1.011","1.01","1.011","0.001","0.0","0.106","0.098","0.103","0.075","0.028","success","success","success","N","2020-07"
"tw_visit_days_vas_call_available","numerical","714","4","0","0","0.0","0.0",,,,,,,"1.014","1.017","1.017","-0.003","-0.003","0.158","0.129","0.135","0.184","0.146","success","success","success","N","2020-07"
"family_moa_data_usage_in_gb","numerical","835944","769447","0","0","0.0","0.0",,,,,,,"12.153","11.791","11.183","0.03","0.08","12.063","11.912","11.764","0.013","0.025","success","success","success","N","2020-07"
"avg_chg_duration","numerical","11496146","16726","0","3521","0.0","0.0",,,,,,,"870.306","867.309","859.878","0.003","0.012","479.15","477.16","472.492","0.004","0.014","success","success","success","N","2020-07"
"avg_eqp_buy_duration","numerical","11496146","18712","0","98103","0.009","0.009",,,,,,,"177.803","177.573","177.678","0.001","0.001","1022.974","1024.454","1023.658","-0.001","-0.001","success","success","success","N","2020-07"
"voc_snd_cnt_home_move","numerical","625584","174","0","267105","0.427","0.427",,,,,,,"1.589","1.996","1.816","-0.256","-0.143","4.778","6.618","6.49","-0.385","-0.358","success","success","success","N","2020-07"
"sms_rcv_cnt_wedding","numerical","49663","69","0","42130","0.848","0.848",,,,,,,"0.445","0.489","0.502","-0.099","-0.128","4.418","6.258","6.11","-0.416","-0.383","success","success","success","N","2020-07"
